CNN,zone
0,E
100000,E
1000000,C
10000101,F
10000201,F
10000202,F
10001000,F
10002000,F
10003000,F
10004000,F
10005000,F
10006000,F
10007000,F
10008000,F
10009000,F
1001000,C
10010000,F
10011000,F
10012000,F
10014000,F
10016000,F
10017000,F
10018000,F
10019000,F
1002000,C
10020000,F
10021000,F
10022000,F
10023000,F
10026000,F
10027000,F
10028000,F
10029000,F
1003000,C
10033000,F
10035000,F
10036000,F
1004000,C
10042000,E
10043000,A
10046000,B
10047000,B
10048000,B
10049000,F
1005000,F
10050000,F
10051000,F
10052000,F
10053000,F
10054000,F
10055000,F
10056000,F
10057000,F
10059000,F
1006000,F
10061000,F
10062000,F
10065000,D
10066000,D
10067000,D
10068000,D
10069000,D
1007000,F
10070000,D
10073000,F
10074101,F
10074201,F
10075000,F
10076000,F
10077000,F
10078000,F
10079000,F
1008000,F
10080101,F
10080102,F
10080201,F
10080202,F
10081000,F
10082000,F
10083000,F
10084000,F
10085000,F
10086000,F
10087000,F
10088000,F
10090000,F
10091000,F
10092000,F
10093000,F
10094000,F
10095000,F
10096000,F
10097000,F
10098000,F
10099000,F
101000,B
1010000,F
10101000,F
10102000,F
10103000,F
10104000,F
10106000,F
10107000,F
1011000,F
10114000,F
10116000,F
10118000,A
10119000,A
1012000,F
10120000,A
10121000,A
10122000,A
10123000,A
10125000,A
10126000,A
10127000,A
1013000,F
10130000,A
10131000,A
10132000,A
10134000,A
10135000,A
10137000,A
10138000,A
10139000,A
1014000,F
10140000,A
10141000,A
10142000,A
10143000,A
10144000,A
10145000,A
10146000,A
10147000,A
10148000,A
10149000,A
1015000,F
10150000,A
10151000,A
10152000,A
10153000,A
10154000,A
10155000,A
10156000,A
10157000,A
10158000,A
10159000,A
1016000,F
10160000,A
10161000,A
10162000,A
10163000,C
10164000,C
10165000,C
10166000,C
10169000,B
1017000,F
10170000,B
10171000,B
10172000,C
10173000,C
10174000,C
10175000,C
10176000,C
10177000,C
10178000,C
10179000,C
1018000,F
10180000,C
10181000,C
10182000,C
10183000,C
10184000,C
10185000,C
10186000,C
10187000,C
10188000,C
1019000,F
10190000,C
10191000,C
10194000,F
10195000,F
10196000,F
102000,B
1020000,F
10205000,F
1021000,F
10217000,E
10218000,E
10219000,E
10220000,E
10221000,E
10222000,E
10223000,E
10224000,E
10225000,E
10226000,E
10227000,E
10228000,E
10229000,E
10230000,E
10231000,E
10233000,F
10240000,F
10246000,F
10247000,D
10249000,C
10251000,E
10252000,E
10253000,E
10254000,E
10255000,E
10256000,E
10257000,E
10258000,E
10259000,E
1026000,E
10260000,D
10261000,D
10262000,D
10263000,D
10264000,D
1027000,E
10270201,C
10273000,C
10274000,C
10275000,C
10277000,C
10278000,C
10279000,C
1028000,E
10280000,C
10285000,F
10286000,F
10287000,F
10288000,F
10289000,F
10290000,F
10291000,F
10292001,F
10292002,F
10293000,F
10294000,F
10295000,F
10299000,C
1030000,E
10301000,E
10302000,F
10304000,E
10305000,D
10306000,E
10307000,E
10308000,E
10309000,E
1031000,E
10310000,E
10311000,E
10313000,F
10314000,F
10316000,F
10317000,E
10319000,E
1032000,E
10320000,B
10321000,B
10326000,E
10327000,E
10328000,E
1033000,E
10331000,E
10332000,E
10332001,E
10333000,E
10334000,E
10335000,E
10336000,E
10337000,E
10337001,E
