cnn,zone,count,"has_completed_service","has_pruning_info","prune_score","min_prune","avg_prune","distinct_count_species","avg_lat","avg_lon","has_completed_service_pct","has_pruning_info_pct","scheduled_date"
0,E,3,0,3,"-0.59200526382548","-0.59200526382548","0.07466140284118665",2,"37.751275666666665","-122.38889133333333",0,100,NOW
100000,E,41,0,41,"1.40799473617452","-0.59200526382548","1.6518971751989109",14,"37.76654839024391","-122.39420768292683",0,100,"2018-12-31"
1000000,C,24,0,16,"-0.59200526382548","-0.59200526382548","0.07466140284118665",8,"37.78127575000001","-122.47943720833332",0,"66.66666666666666",NOW
10000101,F,10,0,10,"-0.59200526382548","-0.59200526382548","0.80799473617452",3,"37.7542554","-122.46875259999997",0,100,NOW
10000201,F,4,0,3,"1.40799473617452","-0.59200526382548","0.90799473617452",3,"37.752809750000004","-122.4680165",0,75,"2018-12-31"
10000202,F,3,0,3,"-0.59200526382548","-0.59200526382548","0.7413280695078533",3,"37.75421166666667","-122.46872533333334",0,100,NOW
10001000,F,1,0,0,"-0.59200526382548","-0.59200526382548","-0.59200526382548",1,"37.752523","-122.471943",0,0,NOW
10002000,F,19,0,9,"-0.59200526382548","-0.59200526382548","0.14483684143767786",5,"37.75253168421052","-122.47258994736842",0,"47.368421052631575",NOW
10003000,F,20,0,16,"1.40799473617452","-0.59200526382548","1.0079947361745196",5,"37.752458399999995","-122.47365190000001",0,80,"2018-12-31"
10004000,F,11,0,8,"-0.59200526382548","-0.59200526382548","-0.3192779910982073",5,"37.75240509090909","-122.474615",0,"72.72727272727273",NOW
10005000,F,9,0,7,"-0.59200526382548","-0.59200526382548","-0.14756081938103557",4,"37.752417888888885","-122.47497588888889",0,"77.77777777777779",NOW
10006000,F,12,0,3,"-0.59200526382548","-0.59200526382548","-0.59200526382548",2,"37.752406416666666","-122.47564975000002",0,25,NOW
10007000,F,10,0,8,"1.40799473617452","-0.59200526382548","1.0079947361745198",2,"37.75230810000001","-122.47691499999999",0,80,"2018-12-31"
10008000,F,7,0,5,"-0.59200526382548","-0.59200526382548","0.8365661647459486",4,"37.752308285714285","-122.47777528571427",0,"71.42857142857143",NOW
10009000,F,4,0,4,"1.40799473617452","1.40799473617452","1.40799473617452",2,"37.75235325","-122.47871749999999",0,100,"2018-12-31"
1001000,C,27,0,12,"-0.59200526382548","-0.59200526382548","0.07466140284118665",7,"37.77935188888889","-122.47931911111111",0,"44.44444444444444",NOW
10010000,F,2,0,2,"1.40799473617452","1.40799473617452","1.40799473617452",1,"37.7521265","-122.4803685",0,100,"2018-12-31"
10011000,F,4,0,4,"0.40799473617452","-0.59200526382548","0.40799473617452",3,"37.7522035","-122.4812665",0,100,"2017-12-31"
10012000,F,4,0,4,"1.40799473617452","1.40799473617452","1.40799473617452",1,"37.752194","-122.48239675",0,100,"2018-12-31"
10014000,F,6,0,6,"0.40799473617452","-0.59200526382548","0.5746614028411866",4,"37.7521135","-122.48417633333334",0,100,"2017-12-31"
10016000,F,7,0,4,"-0.59200526382548","-0.59200526382548","-0.020576692396908593",3,"37.75193","-122.4862447142857",0,"57.14285714285714",NOW
10017000,F,7,0,5,"-0.59200526382548","-0.59200526382548","0.8365661647459486",3,"37.75192885714286","-122.48766371428573",0,"71.42857142857143",NOW
10018000,F,8,0,8,"1.40799473617452","-0.59200526382548","0.90799473617452",4,"37.751790375","-122.48873250000001",0,100,"2018-12-31"
10019000,F,6,0,2,"-0.59200526382548","-0.59200526382548","-0.2586719304921467",2,"37.75177033333333","-122.489574",0,"33.33333333333333",NOW
1002000,C,23,0,7,"-0.59200526382548","-0.59200526382548","-0.11374439426026263",8,"37.777459565217384","-122.47917052173912",0,"30.434782608695656",NOW
10020000,F,6,0,4,"-0.59200526382548","-0.59200526382548","0.7413280695078533",1,"37.75181683333333","-122.49088766666667",0,"66.66666666666666",NOW
10021000,F,5,0,4,"-0.59200526382548","-0.59200526382548","0.6079947361745199",2,"37.7517756","-122.4918048",0,80,NOW
10022000,F,4,0,4,"-0.59200526382548","-0.59200526382548","0.40799473617452",2,"37.751634","-122.4932015",0,100,NOW
10023000,F,3,0,0,"-0.59200526382548","-0.59200526382548","-0.59200526382548",0,"37.75166333333333","-122.49426166666667",0,0,NOW
10026000,F,9,0,9,"1.40799473617452","1.40799473617452","1.40799473617452",1,"37.75139755555556","-122.49627044444446",0,100,"2018-12-31"
10027000,F,9,0,9,"1.40799473617452","1.40799473617452","1.40799473617452",1,"37.75135777777778","-122.49715266666668",0,100,"2018-12-31"
10028000,F,10,0,10,"1.40799473617452","1.40799473617452","1.4079947361745198",1,"37.751318000000005","-122.498389",0,100,"2018-12-31"
10029000,F,12,0,12,"1.40799473617452","-0.59200526382548","1.0746614028411863",3,"37.75128725","-122.49931316666668",0,100,"2018-12-31"
1003000,C,23,0,8,"-0.59200526382548","-0.59200526382548","-0.0702661333906975",7,"37.775656652173915","-122.47903526086955",0,"34.78260869565217",NOW
10033000,F,1,0,1,"1.40799473617452","1.40799473617452","1.40799473617452",1,"37.751097","-122.503593",0,100,"2018-12-31"
10035000,F,2,0,1,"-0.59200526382548","-0.59200526382548","-0.59200526382548",1,"37.7511455","-122.50590600000001",0,50,NOW
10036000,F,6,0,4,"-0.59200526382548","-0.59200526382548","0.7413280695078533",2,"37.751014000000005","-122.5071635",0,"66.66666666666666",NOW
1004000,C,22,0,7,"-0.59200526382548","-0.59200526382548","-0.09200526382548002",5,"37.773716045454556","-122.4789033181818",0,"31.818181818181817",NOW
10042000,E,22,0,22,"-0.59200526382548","-0.59200526382548","-0.5920052638254802",2,"37.731635681818176","-122.38298527272728",0,100,NOW
10043000,A,4,0,3,"-0.59200526382548","-0.59200526382548","0.40799473617452",3,"37.797673","-122.40294324999999",0,75,NOW
10046000,B,16,3,16,"-0.59200526382548","-0.59200526382548","0.10113043822931689",2,"37.772600249999996","-122.41925012499999","18.75",100,NOW
10047000,B,13,0,13,"-0.59200526382548","-0.59200526382548","-0.59200526382548",1,"37.772089307692305","-122.41994230769231",0,100,NOW
10048000,B,25,7,23,"0.40799473617452","-0.59200526382548","1.094688343480454",5,"37.77088748","-122.42020619999998","28.000000000000004",92,"2017-12-31"
10049000,F,22,0,13,"-0.59200526382548","-0.59200526382548","0.5898129179927017",12,"37.726589318181816","-122.43917522727274",0,"59.09090909090909",NOW
1005000,F,6,0,6,"-0.59200526382548","-0.59200526382548","-0.09200526382548002",4,"37.7647932","-122.47814480000002",0,100,NOW
10050000,F,27,0,19,"-0.59200526382548","-0.59200526382548","1.0376243658041493",11,"37.725336222222225","-122.4400029259259",0,"70.37037037037037",NOW
10051000,F,10,0,6,"-0.59200526382548","-0.59200526382548","0.70799473617452",5,"37.7243208","-122.44047459999999",0,60,NOW
10052000,F,12,0,3,"-0.59200526382548","-0.59200526382548","-0.09200526382548002",4,"37.723691333333335","-122.44083033333335",0,25,NOW
10053000,F,9,0,5,"-0.59200526382548","-0.59200526382548","0.5191058472856311",3,"37.722997","-122.44122899999996",0,"55.55555555555556",NOW
10054000,F,21,0,12,"-0.59200526382548","-0.59200526382548","0.31275664093642475",7,"37.7221388095238","-122.44179009523809",0,"57.14285714285714",NOW
10055000,F,6,0,0,"-0.59200526382548","-0.59200526382548","-0.59200526382548",1,"37.71390266666668","-122.44405183333333",0,0,NOW
10056000,F,15,0,2,"-0.59200526382548","-0.59200526382548","-0.19200526382548003",3,"37.7143546","-122.44464946666668",0,"13.333333333333334",NOW
