BOTANICAL,OBJECTID,"pruning_years"
"Sawcut New Tree Well Site",525,
"Platanus x acerifolia",417,3
"Ficus microcarpa 'Nitida'",238,3
"Vacant Planting Site - Small",585,
"Lophostemon confertus",324,4
"Metrosideros excelsa",360,5
"Prunus cerasifera",438,5
"Magnolia grandiflora",333,4
"Pittosporum undulatum",413,4
"Tristaniopsis laurina",566,5
"Prunus serrulata 'Kwanzan'",453,5
"Arbutus 'Marina'",58,5
"Acacia melanoxylon",14,3
"Olea europaea",371,5
"Maytenus boaria",347,3
"Callistemon citrinus",95,3
"Corymbia ficifolia",161,3
"Ginkgo biloba",261,5
"Pyrus calleryana",473,4
"Ulmus parvifolia",571,3
"Ligustrum lucidum",316,5
"Vacant Planting Site - Medium",584,
"Eriobotrya deflexa",198,5
"Cordyline australis",152,7
"Juniperus chinensis 'Torulosa'",293,7
"Tristaniopsis laurina 'Elegant'",567,5
"Liquidambar styraciflua",320,3
"Pyrus kawakamii",481,3
Stump,536,
"Melaleuca quinquenervia",353,4
"Pittosporum crassifolium",409,5
"Myoporum laetum",366,5
"Jacaranda mimosifolia",284,3
"Syagrus romanzoffianum",540,7
"Eucalyptus polyanthemos",219,3
"Laurus nobilis",305,4
"Schinus terebinthifolius",530,5
"Agonis flexuosa",44,4
"Pinus radiata",402,5
"Lagunaria patersonia",304,5
"Ficus microcarpa",236,3
"Callistemon viminalis",98,5
"Phoenix canariensis",380,3
"Magnolia grandiflora 'Little Gem'",334,5
"Ceratonia siliqua",124,5
"Cupressus macrocarpa",177,5
"Coprosma repens",151,"not a tree"
"Washingtonia robusta",591,5
"Prunus serrulata",452,5
"Arbutus unedo",59,5
"Leptospermum scoparium",309,5
"Acer rubrum",30,3
"Crataegus phaenopyrum",172,4
"Afrocarpus gracilior",41,5
"Syzygium paniculatum",545,5
"Acer palmatum",23,5
"Taxus baccata",549,7
"Eucalyptus sideroxylon",224,3
"Yucca gloriosa",598,5
"Rhaphiolepis 'Majestic Beauty'",503,5
"Dodonaea viscosa 'Purpurea'",190,5
"Acacia baileyana",5,3
"Pyrus calleryana 'Aristocrat'",474,5
"Fraxinus angustifolia subsp. oxycarpa",245,5
"Vacant Planting Site",582,
"Eucalyptus globulus",211,5
"Crataegus laevigata",171,5
"Rhamnus alaternus",499,5
"Quercus agrifolia",483,7
"Ulmus americana",569,3
"Vacant Planting Site - Large",583,
"Geijera parviflora",260,5
"Acer buergeranum",19,5
"Ulmus pumila",575,3
"Pistacia chinensis",407,5
"Other Tree",374,5
"Koelreuteria paniculata",298,3
"Schinus molle",528,5
"Robinia x ambigua 'Purple Robe'",512,3
"Pittosporum tenuifolium",411,5
"Liriodendron tulipifera",322,5
"Prunus x yedoensis",458,5
"Chamaerops humilis",137,5
"Prunus domestica",441,5
"Leptospermum laevigatum",307,5
"Melaleuca linariifolia",351,5
"Acacia stenophylla",16,3
"Trachycarpus fortunei",564,5
"Ulmus rubra",576,3
"Fraxinus uhdei",250,5
"Lycianthes rantonnetii",326,7
"Hymenosporum flavum",277,5
"Ligustrum japonicum",315,5
"Populus nigra var. italica",427,4
"Cupaniopsis anacardioides",175,5
"Ceanothus 'Ray Hartmann'",109,3
"Eriobotrya japonica",199,5
"Celtis sinensis",122,5
"Prunus x blireiana",457,5
"Malus floribunda",345,5
"Thuja occidentalis",553,7
"Pittosporum eugenioides",410,5
"Agonis flexuosa 'After Dark'",45,5
"Platycladus orientalis",419,7
"Sequoia sempervirens",531,7
"Lyonothamnus floribundus ssp. asplenifolius",328,5
"Pinus pinea",401,5
"Photinia fraseri",386,5
"Pinus canariensis",393,7
"Quercus suber",493,7
"Cupressus sempervirens",179,7
"Magnolia doltsopa",331,5
"Pyrus calleryana 'Chanticleer'",476,5
"Quercus ilex",487,7
"Lyonothamnus floribundus",327,5
"Magnolia grandiflora 'St. Mary'",337,5
"Pyrus calleryana 'Bradford'",475,5
"Cotoneaster lacteus",166,"not a tree"
"Ficus microcarpa nitida 'Green Gem'",237,3
"Betula pendula",76,3
"Melaleuca ericifolia",350,5
"Citrus limon",145,3
"Brahea edulis",86,5
"Washingtonia filifera",589,3
"Aesculus x carnea",39,5
"Ceiba speciosa",119,5
"Malus domestica",344,5
"Juniperus chinensis",291,7
"Pinus thunbergiana",406,7
"Corymbia maculata",162,3
"Lagerstroemia indica",299,5
"Melaleuca styphelioides",355,5
"Cinnamomum camphora",143,5
"Pittosporum tobira",412,5
"Tilia cordata",560,5
"Syzygium australe",544,7
"Ceanothus species",111,"not a tree"
"Podocarpus macrophyllus",422,5
"Acer saccharinum",32,5
"Magnolia grandiflora 'Russet'",335,5
"Juniperus species",295,7
"Liquidambar styraciflua 'Rotundiloba'",321,5
"Ceanothus arboreus",110,3
"Unsuitable Planting Site--Tree Well to be Paved/Filled",581,
"Crataegus crus-galli f. inermis",170,5
"Eucalyptus camaldulensis",205,5
"Carpinus betulus",103,5
"Eucalyptus leucoxylon",215,3
"Morus alba",362,4
"Quercus virginiana",495,5
"Eucalyptus nicholii",218,5
"Elaeocarpus decipiens",197,5
"Ilex altaclarensis 'Wilsonii'",279,5
"Magnolia champaca",330,5
"Acacia longifolia",13,5
"Magnolia grandiflora 'Samuel Sommer'",336,5
"Phoenix dactylifera",381,3
"Prunus cerasifera (green form)",440,5
"Platanus racemosa",416,5
"Fraxinus americana",244,5
"Heteromeles arbutifolia",273,5
"Persea americana",378,5
"Cedrus deodara",114,5
"Photinia serrulata",388,5
"Eucalyptus conferruminiata",208,5
"Brugmansia versicolor",89,5
"Cedrus atlantica",113,5
"Eriobotrya X 'Coppertone'",200,5
"Tibouchina granulosa",556,5
"Magnolia x soulangeana",343,5
"Stump with no planting plan",537,
"Tibouchina urvilleana",557,5
"Griselinia littoralis",270,5
"Acer x freemanii",35,5
